date_debut,date_fin,titre_court,description_rapide,categorie,pays
2023-04-04,2023-04-04,Adhésion de la Finlande à l’OTAN,"La Finlande devient membre de l’OTAN, élargissant son cadre de sécurité",Politique/Géopolitique/Global,Finlande/Russie
2024-01-28,2024-02-11,Élection présidentielle finlandaise 2024,Premier tour puis second tour qui voit Alexander Stubb devenir président,Politique/Géopolitique,Finlande
2013-03-03,2013-04-01,Mise en œuvre de l'EUTR,Loi européenne interdisant l'importation de bois illégal et imposant une diligence raisonnable dans l'UE,Politique/Géopolitique/Économie/Logistique,EU27
2015-02-12,2015-03-01,DLH expulsé du FSC,Le groupe danois DLH est exclu du système FSC pour trafic de bois illégal lié à des litiges fonciers,Économie/Juridique/Environnement,Denmark
2017-09-30,2017-10-31,Ajustements du bois contrôlé FSC pour mieux aligner avec l'EUTR,Modification des exigences FSC pour le bois contrôlé afin de renforcer la conformité à l'EUTR,Environnement/Économie/Juridique,Denmark
2023-06-29,2024-12-29,Ébauche de la réglementation EUDR,Adoption d'une réglementation européenne visant à lutter contre la déforestation et ses impacts sur les importations,Politique/Économie/Global,EU27
2024-12-30,2025-12-31,Entrée en vigueur de l'EUDR (appliquée),L'EUDR devient applicable pour les importations de bois et produits bois nécessitant une traçabilité et une diligence renforcée,Politique/Économie/Logistique/Global,EU27/Denmark
2012-01-01,2012-12-01,Réforme des retraites et consolidation budgétaire,Réforme structurelle des retraites et mesures d’austérité destinées à stabiliser l’endettement public et les finances publiques,Politique/Economie,DK
2013-01-01,2013-12-01,Nouvelle politique urbaine et logement,Initiatives visant à stimuler la construction et l’abordabilité du logement dans les grandes villes,Économie/Logistique/Social,DK
2014-01-01,2014-12-01,Réforme du système d’enseignement supérieur,Révision du financement et de l’accès à l’enseignement supérieur pour accroître la compétitivité,Éducation/Économie/Social,DK
2015-01-01,2015-12-01,Élection générale 2015,Les sociaux-démocrates remportent les élections et Mette Frederiksen débute comme leader réformiste,Politique/Géopolitique,DK
2015-06-01,2015-06-01,Résultats des élections et formation du gouvernement bleu,Formation d’un gouvernement de coalition libéral-conservatrice après les résultats de l’élection,Politique,DK
2016-01-01,2016-12-01,Négociations sur le budget et réformes structurelles,Poursuite des réformes budgétaires et structurelles au Parlement,Politique/Economie,DK
2017-01-01,2017-12-01,Lutte contre le chômage et soutien à l’innovation,Mesures visant à réduire le chômage et à stimuler l’innovation technologique,Économie/Technologie,DK
2018-01-01,2018-12-01,Politique migratoire et sécurité,Cadre renforcé sur l’immigration et les questions de sécurité intérieure,Géopolitique/Social/Politique,DK
2019-01-01,2019-12-01,Élections législatives et changement de gouvernement,Victoires du bloc rouge et nomination de Mette Frederiksen comme PM,Politique/Géopolitique,DK
2019-06-01,2019-06-01,Accord climatique post-élection,Engagements pour réduction des émissions et objectifs climatiques ambitieux,Environnement/Économie,DK
2020-01-01,2021-12-01,Réponse à la pandémie de COVID-19,"Mesures sanitaires, soutien économique et relance",Santé/Économie/Social,DK
2022-01-01,2022-12-01,Renforcement de la défense et soutien à l’Ukraine,Augmentation des dépenses de défense et aide à l’Ukraine dans la guerre,Géopolitique/Économie,DK
2023-01-01,2023-12-01,Transition énergétique et plan Climat 2030,Accélération des énergies renouvelables et réduction des émissions,Environnement/Économie,DK
2024-01-01,2024-12-01,Élections européennes et redéfinition des alliances,Impact politique des européennes et réévaluation des politiques européennes,Politique/Géopolitique/Global,DK
2025-07-01,2025-12-01,Présidence du Conseil de l’UE par le Danemark,DK assure la présidence du Conseil de l’UE et dirige les négociations sur des dossiers clés,Politique/Géopolitique/Global,EU/DK
2014-09-03,2014-10-31,Bilan WWF sur l'implémentation du RUEM en Europe,État de la mise en œuvre de la réglementation européenne sur le bois et ses produits dérivés,Politique/Environnement/Économie,UE/Portugal
2015-05-26,2015-06-30,Quercus et Greenpeace alertent sur l'entrée de bois illégal en Portugal,Déclarations publiques sur des cas de bois en provenance de RDCongo via le Port of Leixões,Environnement/Logistique/Social,Portugal
2015-06-03,2015-07-31,Portugal identifié comme troisième importateur mondial de bois de RDCongo,Rapport sur le commerce de bois illégal RDCongo impliquant le Portugal,Économie/Environnement/Logistique,Portugal
2021-03-26,2021-04-30,Quercus et Greenpeace dénoncent de nouveaux cas de bois illégal en Portugal,Cas récents d'importation illégale de bois et appels à renforcer les contrôles,Environnement/Logistique/Social,Portugal
2021-06-01,2021-07-31,Suite médiatique et actions de surveillance sur le bois illégal en Portugal,Mises à jour et suivis des contrôles douaniers et environnementaux,Économie/Environnement/Logistique,Portugal
2014-05-20,2014-05-20,Sortie du plan de sauvetage (fin du programme d'assistance),Fin du programme d'aide financière international et retour à la gestion budgétaire normale,Politique/Géopolitique/Économie,Portugal
2015-11-26,2015-11-26,Premier ministre António Costa,António Costa prend officiellement ses fonctions après la motion de censure et l’accord avec la gauche,Politique/Géopolitique,Portugal
2017-06-17,2017-06-19,Incendies de Pedrógão Grande,"Série d’incendies meurtriers balayant le centre du Portugal, entraînant des décès et des évacuations massives",Géopolitique/Économie/Social/Environnement,Portugal
2020-03-18,2020-06-30,Lutte contre la COVID-19 au Portugal,Confinement national et mesures sanitaires et économiques pour contenir la pandémie,Sanitaire/Économie/Politique,Portugal
2021-01-24,2021-02-13,Rétablissement de Marcelo Rebelo de Sousa,Marcelo Rebelo de Sousa réélu président et entame son second mandat,Politique/Géopolitique,Portugal
2021-09-26,2021-09-26,Élections municipales et régionales 2021,Victoires et pertes locales des partis,Politique/Géopolitique,Portugal
2022-11-01,2022-11-01,Réponses économiques post-pandémie,Mesures et investissements pour relancer l’économie après la pandémie,Économie/Politique,Portugal
2023-02-01,2023-02-01,Discussion et vote sur l’euthanasie,Parlement approuve des mesures liées à l’euthanasie et au droit à l’option de fin de vie,Bioéthique/Politique/Juridique,Portugal
2023-08-01,2023-08-01,Règles environnementales renforcées,Renforcement des politiques de protection forestière et de gestion des risques climatiques,Environnement/Politique,Portugal
2024-04-15,2024-12-31,Réponses à la crise énergétique,Plan national pour sécuriser l’approvisionnement et réduire la dépendance énergétique,Économie/Politique/Environnement,Portugal
2025-01-15,2025-01-15,Réformes du travail et du marché du travail,Mesures visant à flexibiliser et moderniser le marché du travail,Économie/Politique/Social,Portugal
2014-07-01,2015-07-01,Mise en place des lois nationales liées à l’EUTR en Irlande,Adoption des European Union (Timber and Timber Products) (Placing on the Market) Regulations 2014 et désignation de l’autorité compétente,Politique/Juridique/Économie/Logistique,Ireland
2020-01-01,2020-12-31,Brexit et exigences pour le bois emballage (ISPM 15),Les règles sur l’emballage en bois (WPM) et le contrôle phytosanitaire s’appliquent aux importations depuis le Royaume-Uni,Logistique/Environnement/Juridique,Ireland/United Kingdom
2024-12-30,2025-12-30,Entrée en application du Règlement européen sur les produits déforestés (EUDR) en Irlande,Obligations de traçabilité et de diligence raisonnable pour les produits bois afin d’éviter la déforestation,Politique/Environnement/Juridique,Ireland
2025-12-30,2025-12-30,Mise en application prévue du EUDR pour les grandes entreprises,Dates clés de mise en œuvre et calendrier de conformité (Grandes entreprises: 30 décembre 2025),Politique/Juridique,Ireland
2021-01-01,2025-12-31,Cadre post-Brexit pour les bois/imports du Royaume-Uni (WPM/ISPM15),Large éventail de mesures liées au commerce du bois entre l’Irlande et le Royaume-Uni après le Brexit,Logistique/Politique,Ireland/United Kingdom
2013-12-23,2014-01-31,Fin du programme de sauvetage irlandais,Fin des mesures de sauvetage financièreUE/ECB/IMF mis en place après la crise,Politique/Economie,Ireland
2015-05-23,2015-06-30,Référendum sur le mariage gay,"Voté en faveur du mariage homosexuel par référendum, Ireland devient le premier pays à légaliser via vote populaire",Politique/Social,Ireland
2018-05-25,2018-09-18,Abrogation de l'Article 40.3.3° (IVG),Référendum pour autoriser l’avortement et modifier la Constitution,Politique/Juridique/Santé,Ireland
2020-02-08,2020-03-08,Élection générale irlandaise 2020,Élection générale qui mène à une recomposition du paysage politique,Politique,Ireland
2020-03-12,2020-05-31,Début du confinement lié à la COVID-19,Mesures de confinement et restrictions imposées pour endiguer la pandémie,Santitaire/Logistique/Globale,Ireland
2016-06-23,2016-07-31,Impact du Brexit sur l’Irlande,Référentiel économique et politique suite au vote britannique pour sortir de l’UE,Géopolitique/Économie,Ireland/UK
2013-03-03,2013-04-30,Entrée en application de l'EUTR,Mise en œuvre du règlement UE sur le commerce du bois afin d'interdire le bois illégal sur le marché européen,Politique/Juridique/Économie,LT
2020-02-06,2020-12-31,Restriction des exportations de bois brut en Lituanie,Mesures visant à limiter les exportations de bois non transformé et à favoriser la transformation locale,Politique/Économie/Logistique,LT
2022-06-04,2022-09-04,Sanctions UE sur les matériaux de construction en provenance de Biélorussie,"Cadre sanctionnaire impactant les flux commerciaux avec la Biélorussie, incluant le bois dans certains cas",Politique/Économie,LT/BLR
2023-11-02,2023-12-31,Renforcement du contrôle des exportations via Russie et Biélorussie,Contrôles accrus sur les exportations et transit de biens sanctionnés passant par la frontière LT-RU/BLR,Politique/Logistique,LT/RUS/BLR
2023-12-18,2024-01-31,Renforcement des procédures pour les import/export de biens sanctionnés,Application de déclarations obligatoires et contrôle accru des flux export/transit via les routes vers la Russie et la Biélorussie,Logistique/Politique,LT/RUS/BLR
2024-04-04,2024-12-31,Cas d’évasion des sanctions timber via routes transfrontalières,Rapports et investigations sur des flux de bois sanctionnés entrant ou transitant par des États voisins,Politique/Économie/Logistique,LT
2013-03-03,2015-12-31,Conformité des opérateurs lithuaniens au EUTR,Durcissement des vérifications et due diligence par les acteurs lithuaniens sur le bois et les produits bois importés ou exportés,Juridique/Économie/Technologie,LT
2012-10-14,2012-10-28,Élections législatives 2012,Les Lithuaniens élisent de nouveaux parlementaires (Seimas) dans un scrutin national,Politique,Lithuania
2013-04-16,2013-04-16,Grève publique des travailleurs de la santé,Manifestations et grèves dans le secteur de la santé pour des conditions et salaires,Social/Économie,Lithuania
2014-05-25,2014-05-25,Élections européennes 2014 - Lithanie,Les résultats des 11 sièges au Parlement européen pour la Lithanie,Politique/Économie,EU27
2014-07-01,2014-07-01,Annonce de l’entrée dans l’euro,La Lithanie se prépare à adopter l’euro à partir du 1er janvier 2015,Économie/Juridique,Lithuania
2014-12-01,2014-12-01,Mise en service de l terminals LNG Klaipėda,"Début des opérations du terminal de gaz naturel liquéfié, renforçant l’indépendance énergétique",Économie/Environnement,Lithuania
2015-01-01,2015-01-01,Adoption de l’euro,La Lithanie adopte l’euro comme monnaie officielle,Économie/Monétaire,Lithuania
2019-04-25,2019-04-25,Élection présidentielle 2019,Réélection ou élection d’un nouveau président (Grybauskaitė n’était plus candidate),Politique,Lithuania
2019-05-25,2019-05-25,Élections européennes 2019,Parlement européen avec répartition des sièges pour la Lithanie,Politique/Économie,EU27
2020-08-01,2020-08-01,Crise sanitaire liée à la COVID-19,"Mesures sanitaires, confinement et réponses gouvernementales",Sanitaire/Social,Lithuania
2020-11-13,2020-11-13,Élections législatives anticipées 2020,Nouvelle composition du Seimas après le scrutin,Politique,Lithuania
2021-01-01,2021-12-31,Programme 2021-2024 du gouvernement,Poursuite des réformes économiques et sociales,Économie/Social,Lithuania
2024-06-09,2024-06-09,Élections européennes 2024,Seconde vague de résultats européens et répartition des sièges,Politique/Économie,EU27
2024-12-12,2025-08-04,Gintautas Paluckas Premier ministre,Nomination puis démission du premier ministre,Politique/Social/Juridique,Lithuania
2025-02-09,2025-02-09,Changement de leadership du parti au pouvoir,Élection du nouveau président du Parti social-démocrate,Politique,Lithuania
2015-01-01,2015-02-01,Traçabilité et emballages bois ISPM15 dans le cadre des échanges luxembourgeois,Conformité des emballages en bois (palettes/dunnage) avec ISPM 15 et obligations de traçabilité,Environnement/Logistique,Luxembourg
2025-03-01,2025-04-01,Application de la licence FLEGT pour les importations de bois,Importation de bois provenant de pays partenaires sous licence FLEGT et contrôles en Luxembourg,Logistique/Économie,Luxembourg
2013-10-20,2013-11-20,Élection générale Luxembourg 2013,Les députés sont élus pour renouveler le parlement du Grand-Duché,Politique/Economie,LU
2014-06-18,2014-07-18,Loi sur le mariage homosexuel adoptée,Le Parlement adopte l’ouverture du mariage et de l’adoption aux couples de même sexe,Politique/Juridique/Social,LU
2015-01-01,2015-01-31,Entrée en vigueur du mariage homosexuel,Le mariage entre personnes de même sexe est reconnu officiellement,Juridique/Social,LU
2015-07-01,2015-07-31,Luxembourg présidence du Conseil de l’UE,Luxembourg assure la présidence du Conseil de l’Union Européenne sur le second semestre 2015,Géopolitique/Politique,EU
2018-10-14,2018-11-14,Élection générale Luxembourg 2018,Renouvellement du parlement et réélection partielle des partis,Politique/Economie,LU
2020-03-11,2020-04-11,Premier cas Covid-19 et mesures initiales,Le Luxembourg détecte ses premiers cas de Covid-19 et déploie des mesures sanitaires et de mobilité,Sanitaire/Logistique,LU
2020-04-16,2020-05-16,Mesures de transport liées au Covid-19,Mesures telles que port du masque et restriction de ventes et accès dans les transports publics,Santé/Logistique,LU
2023-10-08,2023-11-08,Élections parlementaires 2023,Les résultats initiaux montrent la réduction du soutien des Verts et le maintien d’un multipartisme,Politique/Economie,LU
2015-01-01,2015-01-01,Entrée en vigueur du mariage pour tous,Publication officielle et entrée en vigueur au 1er janvier 2015 de la légalisation du mariage homosexuel,Juridique/Social,LU
2014-01-01,2014-01-15,Introduction de l'euro en Lettonie,La Lettonie adopte l'euro comme monnaie officielle et remplace le lats,Économie/Politique,EU
2014-01-15,2014-01-15,Fin de la double circulation des monnaies,Le lat cesse d'être légal et l'euro devient la seule monnaie en circulation,Économie,Lettonie
2014-01-15,2014-01-15,Risque et intégration monétaire,Transfert définitif des billets et pièces vers l'euro dans le système financier letton,Économie/Juridique,EU
2015-01-01,2015-06-30,Prise de fonction de la présidence lettone du Conseil de l'UE,La Lettonie assume la présidence du Conseil de l'UE pour le premier semestre 2015,Politique/Géopolitique,EU
2015-06-03,2015-06-03,Élection du président de la République Raimonds Vējonis,Raimonds Vējonis est élu président de la Lettonie,Politique/Géopolitique,Lettonie
2015-07-08,2015-07-08,Intronisation du président Raimonds Vējonis,Raimonds Vējonis prête serment et devient président,Politique/Autre,Lettonie
2015-06-30,2015-06-30,Fin de la présidence lettone du Conseil de l'UE,Clôture officielle de la présidence par le Conseil,Politique/Géopolitique,EU
2020-03-02,2020-06-09,Premier cas de COVID-19,La pandémie de COVID-19 arrive en Lettonie et des mesures de confinement sont mises en place,Sanitaire/Économie,Lettonie
2020-03-13,2020-06-09,État d'exception lié au COVID-19,Le gouvernement déclare l'état d'urgence et met en œuvre des restrictions,Sanitaire/Économie,Lettonie
2021-08-10,2021-11-10,État d'urgence à la frontière avec la Belarus,Mesures de sécurité renforcées et restrictions temporaires pour les migrants à la frontière,Politique/Social,Lettonie
2021-11-18,2021-11-18,Renforcement temporaire de la frontière,Installation d'une clôture temporaire et mesures de contrôle supplémentaires à la frontière,Logistique/Politique,Lettonie
2022-02-24,2022-02-24,Soutien à l'Ukraine/Energie et sécurité,La Lettonie participe à l'aide militaire et humanitaire à l'Ukraine,Géopolitique/Économie/Technologie,EU/Lettonie
2023-01-01,2023-01-01,Partenariats énergétiques et sécurité,Progrès dans la diversification énergétique et la sécurité de l'approvisionnement,Économie/Environnement,Lettonie
2024-01-01,2024-01-01,Engagement renforcé en défense et cybersécurité,Renforcement des capacités militaires et des mesures de cybersécurité en Lettonie,Technologie/Géopolitique,Lettonie
2025-01-01,2025-01-01,Positionnement dans l'Union européenne,La Lettonie poursuit son rôle actif au sein de l'UE sur les questions de croissance numérique et de sécurité,Politique/Géopolitique/Global,EU/Lettonie
2013-03-03,2013-04-30,Application de l'EUTR,Mise en place des obligations de diligence raisonnable pour les opérateurs qui placent du bois sur le marché de l'UE afin de lutter contre le bois illégal,Politique/Juridique/Économie/Logistique,Slovakia
2018-06-20,2018-07-20,Manifestations agricoles sur les exportations de bois,Agriculteurs slovaks demandent des restrictions sur les exportations de bois pour protéger les forêts nationales,Politique/Social/Économie,Slovakia
2024-12-09,2025-12-09,Mise en œuvre technique de la réglementation anti-déforestation (EUDR) - plate-forme en ligne et classification des risques,Mise en œuvre technique et conformité pour éviter la déforestation dans les chaînes d'approvisionnement,Politique/Environnement/Technologie,Slovakia
2024-12-30,2025-12-30,Entrée en application de la réglementation européenne sur la déforestation (EUDR) pour les grandes entreprises,Obligations de traçabilité et diligence pour les produits bois exportés/importés dans l'UE,Politique/Géopolitique/Économie/Environnement,Slovakia
2012-03-10,2012-05-11,Élection législative slovaque de 2012,Le Parti SMER–SD remporte les élections et Robert Fico devient Premier ministre.,Politique/Géopolitique,Slovaquie
2012-05-11,2014-03-01,Formation du gouvernement Fico II,"Fico forme son second gouvernement après les élections, renforçant le contrôle du SMER–SD.",Politique/Économie,Slovaquie
2014-03-01,2014-12-31,Réformes économiques et budget,Cadre budgétaire et réformes structurelles menées par le gouvernement en place.,Économie/Politique,Slovaquie
2018-02-14,2018-02-28,Découverte de l’assassinat de Ján Kuciak et Marty Kušnírová,"Découverte d’un homicide lié à des enquêtes sur la corruption, déclenchant des manifestations massives.",Politique/Social/Géopolitique,Slovaquie
2018-03-14,2018-03-22,Démission du gouvernement Fico,"Suite aux manifestations, le gouvernement de Robert Fico démissionne.",Politique/Autre,Slovaquie
2018-03-22,2018-04-18,Formation du gouvernement Pellegrini,Peter Pellegrini devient Premier ministre en charge d’un cabinet intérimaire puis définitif.,Politique/Autre,Slovaquie
2019-03-30,2019-03-30,Élection présidentielle: Zuzana Čaputová,Zuzana Čaputová est élue première femme présidente de la Slovaquie.,Politique/Autre,Slovaquie
2019-06-15,2019-06-15,Inauguration de Zuzana Čaputová,Intronisation de la nouvelle présidente Čaputová.,Politique/Autre,Slovaquie
2020-03-01,2020-03-01,Crise sanitaire et pandémie,Réponse du gouvernement slovaque face à la pandémie de COVID-19.,Santé/Social/Économie,Slovaquie
2020-03-29,2020-05-01,Constitution du gouvernement Matovič/Heger,Igor Matovič devient Premier ministre et constitue un nouveau cabinet en période pandémique.,Politique/Santé,Slovaquie
2021-11-11,2021-11-11,Élections locales et régionales 2021,Renouvellement des autorités locales et régionales dans le cadre du système politique slovaque.,Politique/Géopolitique,Slovaquie
2023-12-25,2024-12-31,Retour de Fico au pouvoir,Réalignement politique lorsque Robert Fico et SMER–SD renouvellent le gouvernement.,Politique/Géopolitique,Slovaquie
2024-03-01,2025-02-28,Impact de la guerre en Ukraine et alignements européens,"Réponses économiques et sécuritaires slovaques face à la guerre, y compris énergie et alliances européennes.",Économie/Politique/Global,Slovaquie
2019-01-01,2025-12-31,Émergence et influence des coalitions pro-EU,"Renforcement des positions pro-EU dans la politique slovaque, contre les tendances populistes.",Politique/Global,Slovaquie
2012-01-01,2012-12-31,Crise économique et réformes publiques en ČR,Contexte économique et réformes budgétaires mises en œuvre dans le cadre de l’austérité post-crise européenne,Économie/Politique,Česká republika
2013-06-17,2013-06-17,Renversement du gouvernement Nečas,Le gouvernement néčas est démis après un scandale de corruption et de verrous politiques,Politique/Juridique,Česká republika
2013-06-01,2013-08-31,Inondations d’été 2013,"Crues importantes touchant plusieurs régions (Bohême et Moravie), dégâts matériels et mesures d’urgence",Environnement/Sanitaire,Česká republika
2013-11-01,2014-02-28,Formation d’un nouveau gouvernement sous le leadership intérimaire,Changements de cabinet et redémarrage de l’action gouvernementale,Politique,Česká republika
2014-01-01,2014-12-31,Bilan économique 2014 et reprise lente,Croissance modeste et remise en ordre budgétaire dans le cadre de l’adhésion européenne,Économie,Česká republika
2015-01-01,2015-12-31,Lutte contre la corruption et réformes judiciaires,Poursuite des réformes du système judiciaire et actions anticorruption,Juridique/Politique,Česká republika
2016-01-01,2016-12-31,Accords énergétiques et sécurité énergétique,Renforcement de l’indépendance énergétique et diversification des approvisionnements,Économie/Énergie/Global,Česká republika
2017-12-01,2017-12-31,Élection et entrée au pouvoir d’Andreji Babiš,"Élection et arrivée au pouvoir du Populiste ANO, changement majeur de la scène politique",Politique,Česká republika
2018-01-01,2018-12-31,Crises et stabilité économique sous le nouveau gouvernement,"Croissance économique modérée, réformes ciblées et stabilité macroéconomique",Économie/Politique,Česká republika
2019-01-01,2019-12-31,Développements technologiques et digitalisation publique,Investissements dans les services publics et la numérisation des procédures,Technologie/Politique,Česká republika
2020-03-01,2021-03-31,Réaction à la pandémie de COVID-19,"Confinements, mesures sanitaires et plans de soutien économiques",Sanitaire/Économie,Česká republika
2021-10-08,2021-10-08,Élections parlementaires et changement possible de coalition,Résultats serrés et rééquilibrage des forces politiques,Politique,Česká republika
2023-01-01,2023-12-31,Élection présidentielle et victoire de Petr Pavel,Élection présidentielle et début de mandat du président Pavel,Politique/Global,Česká republika
2023-02-01,2024-12-31,Soutien à l’Ukraine et sanctions européennes,Engagement de la ČR en soutien à l’Ukraine et participation à des sanctions européennes,Géopolitique/Global,Česká republika
2024-10-01,2025-10-04,Résultats des élections législatives et évolution du gouvernement,Changements post-électoraux et formation d’une nouvelle majorité,Politique,Česká republika
2013-03-03,2013-03-03,Application de l'EUTR en Bulgarie,Mise en application du Règlement (UE) n°995/2010 sur le bois et les produits dérivés pour prévenir le bois illégal,Politique/Juridique/Économie,Bulgarie/UE
2013-03-03,2013-03-03,Mise en œuvre de l'EUTR dans l'UE,"Règles imposant une diligence raisonnable pour tout bois sur le marché, incluant les importations en Bulgarie",Politique/Juridique/Économie,Bulgarie/UE
2015-03-04,2015-06-04,Parlement bulgare suspend temporairement l'export de bois non transformé,Suspension de l'export et de l'expédition de bois en vrac pendant trois mois afin de lutter contre l'exploitation illégale,Politique/Économie/Logistique,Bulgarie
2015-02-09,2015-02-15,Proclamations de forêts protégées et moratoire potentiel sur les exportations,Annonce de protection de forêts et discussion de révisions pour limiter l'export de bois non transformé,Environnement/Économie,Bulgarie
2015-10-06,2016-01-06,Interdiction de l'exploitation nocturne et surveillance vidéo,Amendements prévoyant l'interdiction de la coupe nocturne et l'introduction d'un système de surveillance des camions et installations,Environnement/Logistique,Bulgarie
2025-05-08,2025-12-31,WWF Bulgarie critique les amendements à la Regulation sur l'accès forestier,Avertissements sur les amendements de la Regulation No. 5/2014 facilitant l'exploitation forestière et la construction de routes forestières,Environnement/Politique,Bulgarie
2013-03-03,2013-04-30,Entrée en vigueur de l'EUTR dans l'UE,Mise en place de l'obligation de due diligence pour les opérateurs et négociants afin de prévenir le bois illégal dans l'UE,Politique/Géopolitique/Économie,Croatie
2013-07-01,2013-12-31,Croatie devient État membre de l'UE et intègre les règles du commerce du bois,Entrée officielle de la Croatie dans l'Union européenne et adoption des règles communes sur le bois et les produits forestiers,Politique/Géopolitique/Économie,Croatie/UE
2016-01-01,2016-12-31,Alignement croate avec les exigences EUTR,La Croatie met à jour sa législation forestière et ses pratiques de traçabilité pour respecter l'EUTR,Juridique/Environnement/Économie,Croatie
2018-01-01,2018-12-31,Adoption de la Loi sur l'exécution des règlements de l'UE sur le commerce du bois,Intégration législative des règlements UE relatifs au commerce du bois et à la traçabilité,Juridique/Économie,Croatie
2025-01-01,2025-12-31,Tendances du commerce du bois en Croatie (2012-2025) – données préliminaires,Les statistiques provisoires montrent les niveaux d'exportation et d'importation de bois et produits forestiers en Croatie pour l'année 2025,Économie/Logistique,Croatie
2013-07-01,2013-07-01,Croatie rejoint l'UE,La Croatie devient le 28e État membre de l'Union européenne,Politique/Géopolitique/Économie,Croatie/UE
2015-09-16,2015-10-16,Croatie autorise le passage des réfugiés à travers le pays,Relais des réfugiés et coordination européenne via les frontières,Politique/Géopolitique/Social,Croatie/UE
2015-09-18,2015-10-18,Croatie ferme temporairement des passages Frontières avec la Serbie en contexte de crise migratoire,Fermetures temporaires et gestion d'afflux migratoires,Politique/Géopolitique/Économie/Santé,Croatie/Serbie
2020-03-22,2020-04-22,Séisme de Zagreb (mars 2020),Important séisme de magnitude 5.x causant dommages significatifs dans Zagreb,Environnement/Sanitaire,Croatie
2020-12-29,2021-01-29,Séisme de Petrinja et région,Séisme de forte magnitude provoquant dégâts massifs dans la région de Petrinja et adjacentes,Environnement/Social,Croatie
2023-01-01,2023-01-01,Introduction de l'euro et entrée dans l'espace Schengen,Adoption de l'euro et intégration dans l'espace Schengen,Économie/Géopolitique/Logistique,Croatie
2020-02-25,2020-12-31,Début et gestion de la pandémie de COVID-19,Premiers cas et mesures de confinement dans un contexte de pandémie,Santé/Social,Croatie
2014-11-01,2015-02-01,Mise en place du système de diligence raisonnable en Slovénie,Adaptation nationale pour assurer la traçabilité et la diligence raisonnable sur les bois importés,Politique/Juridique/Économie,Slovénie
2020-03-01,2020-04-01,Perturbations liées au COVID-19 sur les exportations de bois,Réduction des volumes exportés et ralentissements logistiques,Économie/Logistique,Slovénie
2020-12-01,2021-02-01,Relance des marchés du bois après confinement,Redémarrage progressif des activités forestières et des exportations,Économie/Logistique,Slovénie
2022-06-01,2022-08-01,Scolyte et sécheresse impactant les forêts slovéniques,Baisse des volumes exportables et pressions sur les prix du bois,Environnement/Économie,Slovénie
2024-09-01,2025-02-01,Renforcement des contrôles à l'export de bois en Slovénie,Harmonisation accrue des procédures d'export et de traçabilité,Politique/Juridique/Économie/Logistique,Slovénie
2012-11-02,2013-02-04,Protestations contre l'élite politique slovendienne,Série de manifestations nationales contre la corruption et le statu quo politique,Social/Politique,Slovénie
2013-02-27,2013-03-31,Motion de censure contre le Premier ministre Janez Janša,Le parlement organise une motion de censure et démet le gouvernement en place,Politique/Corruption,Slovénie
2014-05-25,2014-05-25,Élections européennes en Slovénie,Les Slovènes élisent leurs représentants au Parlement européen (8 sièges),Politique/Global,Slovénie
2018-09-13,2020-01-27,Nomination et début du gouvernement Marjan Šarec,Marjan Šarec forme un gouvernement minoritaire suite aux élections de 2018,Politique,Slovénie
2020-01-27,2020-02-27,Démission du Premier ministre Marjan Šarec,Le Premier ministre annonce sa démission et appelle à des élections anticipées,Politique/Social,Slovénie
2019-06-03,2020-07-15,Élections et transitions autour du gouvernement Golob et du cabinet,Événements politiques autour du changement de gouvernement et du Golob,Politique,Slovénie
2022-06-02,2024-07-15,Marjan Šarec devient Ministre de la Défense,Nomination de Šarec au poste de ministre de la Défense dans le gouvernement Golob,Politique/Logistique,Slovénie
2024-07-16,2025-02-28,Marjan Šarec devient Député au Parlement européen,Élu et prend siège au Parlement européen,Politique/Global,Slovénie
2013-02-25,2013-04-01,Formation du gouvernement Bratušek,Formation du gouvernement Alenka Bratušek après la crise,Politique,Slovénie
2014-05-26,2014-05-26,Poursuite de la privatisation de NLB,Promesse et discussion autour de la vente de l'État dans le cadre des conditions de l'UE,Économie/Politique,Slovénie
2013-03-03,2013-04-01,Entrée en vigueur du Règlement UE sur le bois (EUTR),Mise en place de la diligence raisonnable pour éviter le bois illégal sur le marché européen,Politique/Juridique/Économie/Logistique,EU27
2014-03-11,2014-04-01,Cyprus cité dans les discussions sur l’application de l’EUTR,Rapport sur l’action de l’UE pour lutter contre l’import de bois illégal et le rôle des États membres (inclusion de Chypre parmi les pays examinés),Politique/Économie,EU27/Cyprus
2015-01-15,2015-02-01,Augmentation des prélèvements de bois en faible croissance à Chypre,"Les prélèvements de bois en 2015 affichent une légère hausse par rapport à 2014, marquant l’évolution des exportations/imports du secteur forestier",Économie/Logistique,Cyprus
2016-01-01,2016-02-01,Production de résidus ligneux en forte baisse à Chypre,La production de résidus de bois (faibles volumes) chute en 2016 selon les données FAOSTAT,Environnement/Économie,Cyprus
2016-01-01,2016-12-31,Statistiques d’import/export de bois à Chypre (FAOSTAT/UNdata),Importations de bois enregistrées en 2016 et variations par rapport aux années précédentes,Économie/Logistique,Cyprus
2022-01-01,2022-12-01,Importations de bois à Chypre en 2022,Données d’importation de bois en 2022 montrant les flux en m3 et l’évolution par rapport à 2021,Économie/Logistique,Cyprus
